,소재지전체주소,사업장명,업태구분명,지역
8943,서울특별시 종로구 종로3가 6번지 ,디토,호프/통닭,종로3가
9014,서울특별시 종로구 적선동 97번지 ,쉬리,호프/통닭,적선동
9016,서울특별시 종로구 숭인동 65-22번지 ,오뚜기호프,호프/통닭,숭인동
9018,서울특별시 종로구 명륜2가 24-4번지 ,메차쿠차,호프/통닭,명륜2가
9072,서울특별시 종로구 홍지동 46-1번지 지상1층 ,주댕이,호프/통닭,홍지동
9079,서울특별시 종로구 숭인동 1262번지 ,파로스,호프/통닭,숭인동
9096,서울특별시 종로구 명륜2가 176번지 ,박스힐,호프/통닭,명륜2가
9166,서울특별시 종로구 신영동 239-1번지 ,크래프트하우스,호프/통닭,신영동
9233,서울특별시 종로구 당주동 5-0 지하1층 ,사랑채,호프/통닭,당주동
9273,서울특별시 종로구 삼청동 37번지 ,삼십칠,호프/통닭,삼청동
9279,서울특별시 종로구 명륜2가 202번지 ,보름달뜨는마을,호프/통닭,명륜2가
9330,서울특별시 종로구 숭인동 191번지 ,왕짜장,호프/통닭,숭인동
9402,서울특별시 종로구 창신동 81-8번지 ,딱좋아,호프/통닭,창신동
9463,서울특별시 종로구 관철동 19-11 ,칸,호프/통닭,관철동
9656,서울특별시 종로구 내자동 11-1번지 ,OMC 치킨,호프/통닭,내자동
9680,서울특별시 종로구 당주동 100번지 지하 105호 ,윤가네,호프/통닭,당주동
9926,서울특별시 종로구 종로5가 75-1번지 ,하이트클래스,호프/통닭,종로5가
9985,서울특별시 종로구 당주동 168-0 ,백림호프주점,호프/통닭,당주동
10290,서울특별시 종로구 청진동 1-1번지 ,프렌치키스,호프/통닭,청진동
10417,서울특별시 종로구 필운동 206-0번지 ,숨바꼭질,호프/통닭,필운동
10582,서울특별시 종로구 명륜2가 181 지하1층 ,봉쥬비어,호프/통닭,명륜2가
10599,서울특별시 종로구 관철동 11-18 ,오늘의회 종각점,호프/통닭,관철동
10611,서울특별시 종로구 창신동 697-3 동원빌딩 1층 ,서기맥주 동대문점,호프/통닭,창신동
10731,서울특별시 종로구 종로6가 205-3번지 ,칼라호프,호프/통닭,종로6가
11103,서울특별시 종로구 운니동 57 지상1층 ,매종,호프/통닭,운니동
11338,서울특별시 종로구 명륜4가 8-1번지 ,삼칠포차,호프/통닭,명륜4가
11493,서울특별시 종로구 통인동 137-11번지 ,리치리치,통닭(치킨),통인동
11593,서울특별시 종로구 신문로1가 31-0번지 ,분짜라붐 광화문점,호프/통닭,신문로1가
11788,서울특별시 종로구 돈의동 50번지 지상1층 ,올래호프,호프/통닭,돈의동
11842,서울특별시 종로구 관철동 45-8번지 ,아스카,호프/통닭,관철동
12163,서울특별시 종로구 숭인동 313-16번지 ,이야기,호프/통닭,숭인동
12184,서울특별시 종로구 관철동 45-8번지 ,파라디아,호프/통닭,관철동
12838,서울특별시 종로구 창신동 691-0번지 ,비어캐빈,호프/통닭,창신동
12868,서울특별시 종로구 창신동 635-8번지 ,삼보전기통닭,통닭(치킨),창신동
13176,서울특별시 종로구 홍지동 127-22번지 ,즈봉,호프/통닭,홍지동
13520,서울특별시 종로구 필운동 108-4번지 1 ,광장호프,호프/통닭,필운동
13522,서울특별시 종로구 필운동 108번지 1층 ,광장호프,호프/통닭,필운동
13582,서울특별시 종로구 종로5가 88-4 2층 ,엘리팝,호프/통닭,종로5가
13802,서울특별시 종로구 돈의동 68-102번지 동의빌딩 ,짝태앤노가리,호프/통닭,돈의동
13912,서울특별시 종로구 숭인동 766 종로청계힐스테이트 ,썬더치킨,호프/통닭,숭인동
13950,서울특별시 종로구 홍지동 46-1번지 ,삼미치킨 상명대점,호프/통닭,홍지동
13954,서울특별시 종로구 부암동 385 지하1층 ,댕댕포차,호프/통닭,부암동
13970,서울특별시 종로구 창신동 635-8 ,통통배식당,호프/통닭,창신동
14239,서울특별시 종로구 관철동 19-12 1~2층 ,비어웍스(종로 종각역점),호프/통닭,관철동
14287,서울특별시 종로구 명륜4가 70-3번지 ,빽투더포차,호프/통닭,명륜4가
14288,서울특별시 종로구 동숭동 1-55번지 ,화덕피자신사,호프/통닭,동숭동
14359,서울특별시 종로구 평창동 66-72번지 안성빌딩 103호 ,조선미닭,통닭(치킨),평창동
14376,서울특별시 종로구 공평동 18번지 ,사진쟁이1019,호프/통닭,공평동
14422,서울특별시 종로구 창신동 635-8번지 지상1층 ,삼보치킨,통닭(치킨),창신동
14436,서울특별시 종로구 효제동 308 ,첨,호프/통닭,효제동
14467,"서울특별시 종로구 내수동 72번지 경희궁의아침3단지 167,168호 ",약초치킨종로점,통닭(치킨),내수동
14476,서울특별시 종로구 창신동 582-17번지 지상1층 ,소문난생만두,통닭(치킨),창신동
14485,서울특별시 종로구 동숭동 1-48번지 지하1층 ,소년소녀술싸롱,호프/통닭,동숭동
14503,서울특별시 종로구 돈의동 84-2번지 ,올인,호프/통닭,돈의동
14510,서울특별시 종로구 명륜2가 186-2번지 ,신촌불닭,통닭(치킨),명륜2가
14543,서울특별시 종로구 창신동 265번지 지상3층 ,럭셔리 수,호프/통닭,창신동
14547,서울특별시 종로구 숭인동 192번지 지상1층 ,석쇠한잔,통닭(치킨),숭인동
14573,서울특별시 종로구 창신동 130-66번지 ,코스닭 치킨,통닭(치킨),창신동
14574,서울특별시 종로구 숭인동 66-3번지 지상2층 ,밀리오,호프/통닭,숭인동
